species,location,ID,sex,reproduction,roost_name,roost_type,year,date_time,Tb,Ta
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 10:19,37.14312573,24.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 10:30,,22.591
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 10:40,,22.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 10:50,39.29157154,23.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 11:00,36.36237555,22.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 11:10,37.52289999,23.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 11:20,39.52444593,24.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 11:30,37.52696715,24.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 11:40,38.57195013,25.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 11:50,35.06214714,20.59
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 12:00,36.71081534,21.59
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 12:10,36.66117691,25.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 12:20,36.76040691,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 12:30,37.64476009,27.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 12:40,38.22511968,26.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 12:50,38.60765998,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 13:00,39.45474777,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 13:10,39.87078055,25.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 13:20,37.44963065,24.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 13:30,35.81038188,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 13:40,,26.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 13:50,35.27865263,25.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 14:00,35.22777529,26.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 14:10,38.96296727,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 14:20,37.49848958,27.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 14:30,35.30407614,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 14:40,36.76040691,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 14:50,35.15138391,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 15:00,37.35176118,26.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 15:10,35.253219,25.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 15:20,38.20109266,26.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 15:30,38.39292228,24.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 15:40,39.03363137,25.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 15:50,35.96145067,25.092
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 16:00,35.70945543,25.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 16:10,38.10484793,24.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 16:20,38.10484793,25.592
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 16:30,36.63634019,23.591
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 16:40,35.98659101,23.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 16:50,37.98423719,23.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 17:00,38.20109266,22.591
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 17:10,37.64476009,22.591
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 17:20,37.91170981,22.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 17:30,38.10484793,23.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 17:40,37.37624742,22.591
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 17:50,36.41229016,22.591
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 18:00,34.76809337,22.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 18:10,35.10040637,22.091
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 18:20,35.43104109,21.59
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 18:30,35.73470296,21.59
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 18:40,26.68872509,21.59
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 18:50,22.5357103,21.09
Eptesicus nilssonii,Trondheim,EnilF002_T,Female,None,O.T.11A,House,2020,5/06/2020 19:00,,21.09
