species,location,ID,sex,reproduction,roost_name,roost_type,year,date_time,Tb,Ta
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,29/07/2020 22:40,32.55242595,11.077
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,29/07/2020 22:50,,11.077
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,29/07/2020 23:00,,11.077
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,29/07/2020 23:10,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,29/07/2020 23:20,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,29/07/2020 23:30,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,29/07/2020 23:40,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,29/07/2020 23:50,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 0:00,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 0:10,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 0:20,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 0:30,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 0:40,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 0:50,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 1:00,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 1:10,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 1:20,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 1:30,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 1:40,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 1:50,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 2:00,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 2:10,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 2:20,,11.578
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 2:30,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 2:40,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 2:50,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 3:00,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 3:10,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 3:20,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 3:30,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 3:40,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 3:50,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 4:00,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 4:10,36.43955548,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 4:20,39.94002845,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 4:30,39.45660816,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 4:40,38.78968443,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 4:50,39.0982429,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 5:00,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 5:10,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 5:20,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 5:30,,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 5:40,35.63076288,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 5:50,36.71667827,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 6:00,35.56422948,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 6:10,35.48434369,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 6:20,35.98058733,12.079
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 6:30,34.19981929,12.579
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 6:40,35.62189378,12.579
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 6:50,,12.579
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 7:00,,13.581
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 7:10,,13.581
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 7:20,,13.581
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 7:30,,13.08
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 7:40,,13.08
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 7:50,,13.08
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 8:00,,13.08
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 8:10,,13.08
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 8:20,,13.581
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 8:30,,13.581
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 8:40,37.80470881,13.581
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 8:50,33.1212408,13.581
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 9:00,33.58045917,14.082
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 9:10,35.24439236,14.082
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 9:20,33.16856658,14.082
Myotis brandtii,Stuppelvik,MbraF019_T,Female,Lactating,Stupelvika,House,2020,30/07/2020 9:30,33.04008321,14.082
