species,location,ID,sex,reproduction,roost_name,roost_type,year,date_time,Tb,Ta
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 3:30,31.20006874,
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 3:40,32.45675111,12.08
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 3:50,32.53367354,11.077
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 4:00,,10.575
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 4:10,30.77146279,10.575
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 4:20,34.59696402,10.575
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 4:30,,10.074
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 4:40,31.71495222,10.074
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 4:50,,10.074
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 5:00,,9.572
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 5:10,,10.074
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 5:20,,10.074
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 5:30,,9.572
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 5:40,,10.074
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 5:50,,10.074
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 6:00,35.63235443,10.575
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 6:10,,11.077
Plecotus auritus,Nittedal,PaurF230,Female,None,HaugBarn,Barn,2019,8/06/2019 6:20,,11.077
